timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540469363816,472,Get,200,,Spike Test (get) 2-18,text,true,,99397,171,45,123,413,0,0
1540469363176,1117,Get,200,,Spike Test (get) 2-34,text,true,,99397,171,45,123,1114,0,1
1540469362976,1340,Get,200,,Spike Test (get) 2-39,text,true,,99397,171,46,124,1337,0,0
1540469363307,1059,Get,200,,Spike Test (get) 2-44,text,true,,99397,171,47,126,978,0,0
1540469363136,1232,Get,200,,Spike Test (get) 2-35,text,true,,99397,171,47,126,1231,0,1
1540469362856,1515,Get,200,,Spike Test (get) 2-42,text,true,,99397,171,47,126,1513,0,1
1540469363577,1021,Get,200,,Spike Test (get) 2-24,text,true,,99397,171,51,131,950,0,0
1540469363656,1200,Get,200,,Spike Test (get) 2-22,text,true,,99397,171,51,133,1199,0,2
1540469363294,1607,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,51,133,1605,0,0
1540469363976,934,Get,200,,Spike Test (get) 2-14,text,true,,99397,171,51,133,933,0,1
1540469362896,2049,Get,200,,Spike Test (get) 2-41,text,true,,99397,171,51,133,2047,0,1
1540469364136,822,Get,200,,Spike Test (get) 2-10,text,true,,99397,171,51,134,820,0,0
1540469363588,1390,Get,200,,Spike Test (get) 2-47,text,true,,99397,171,51,134,1387,0,0
1540469364056,922,Get,200,,Spike Test (get) 2-12,text,true,,99397,171,51,134,921,0,1
1540469363736,1258,Get,200,,Spike Test (get) 2-20,text,true,,99397,171,50,133,1257,0,1
1540469363703,1448,Get,200,,Spike Test (get) 2-38,text,true,,99397,171,50,134,1447,0,0
1540469364216,959,Get,200,,Spike Test (get) 2-8,text,true,,99397,171,50,134,958,0,1
1540469363496,1728,Get,200,,Spike Test (get) 2-26,text,true,,99397,171,50,134,1713,0,1
1540469364417,813,Get,200,,Spike Test (get) 2-3,text,true,,99397,171,50,134,812,0,1
1540469363617,1618,Get,200,,Spike Test (get) 2-23,text,true,,99397,171,50,134,1616,0,0
1540469363696,1542,Get,200,,Spike Test (get) 2-21,text,true,,99397,171,50,134,1539,0,1
1540469363114,2134,Get,200,,Spike Test (get) 2-50,text,true,,99397,171,50,134,2132,0,0
1540469362937,2343,Get,200,,Spike Test (get) 2-40,text,true,,99397,171,49,134,2341,0,0
1540469363257,2182,Get,200,,Spike Test (get) 2-32,text,true,,99397,171,48,134,2180,0,0
1540469364176,1305,Get,200,,Spike Test (get) 2-9,text,true,,99397,171,48,134,1244,0,1
1540469364257,1282,Get,200,,Spike Test (get) 2-7,text,true,,99397,171,48,134,1279,0,0
1540469364598,945,Get,200,,Spike Test (get) 2-24,text,true,,99397,171,48,134,866,0,0
1540469364496,1059,Get,200,,Spike Test (get) 2-1,text,true,,99397,171,48,135,1057,0,2
1540469363216,2360,Get,200,,Spike Test (get) 2-33,text,true,,99397,171,48,135,2273,0,2
1540469364288,1333,Get,200,,Spike Test (get) 2-18,text,true,,99397,171,48,135,1330,0,0
1540469364097,1649,Get,200,,Spike Test (get) 2-11,text,true,,99397,171,48,136,1646,0,0
